Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
56,jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
101,jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
116,armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064
63,paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
113,namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056
46,kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
119,georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
50,ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
137,egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067
124,tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055
92,indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
78,bosnia and herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
107,albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
83,mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
130,sri lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047
65,peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
106,south africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055
108,venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047
84,north macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
43,colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
91,lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
88,algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
32,brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
70,serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
77,dominican republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
93,china,5.191,1.029,1.125,0.893,0.521,0.058,0.1
12,costa rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
148,botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1
90,azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
126,iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
72,libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152
52,thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
73,montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
87,turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
104,gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055
81,belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
23,mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
47,argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
97,bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
117,iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
57,mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
33,uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15
31,panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
75,croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
26,chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
48,romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
60,kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
82,greece,5.287,1.181,1.156,0.999,0.067,0,0.034
68,russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
79,turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106
53,latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
62,hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
40,poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
66,portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
80,malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
39,trinidad & tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
55,estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
42,lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
38,slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
44,slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
49,cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
64,northern cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162
20,czech republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
13,israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
30,spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
36,italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
22,malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
54,south korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
8,new zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
24,france,6.592,1.324,1.472,1.045,0.436,0.111,0.183
58,japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
15,united kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
1,finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
18,belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
37,bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11
9,canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
25,taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
11,australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
17,germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
10,austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
4,iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
2,denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
7,sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
5,netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
28,saudi arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
19,united states,6.892,1.433,1.457,0.874,0.454,0.28,0.128
76,hong kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
6,switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
3,norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
16,ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
51,kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
21,united arab emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
34,singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
14,luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
29,qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
